"","taxon","sample","depth","diversity_measure","value","lon","lat"
"99","fish","isrwest240220E",76.6,"sigma",1.53880527130186,NA,NA
"100","fish","isrwest240220F",103.7,"abundance",3,NA,NA
"101","fish","isrwest240220F",103.7,"richness",2,NA,NA
"102","fish","isrwest240220F",103.7,"sigma",0.0150563559131666,NA,NA
"103","fish","isrwest260122A",140,"abundance",8,NA,NA
"104","fish","isrwest260122A",140,"richness",4,NA,NA
"105","fish","isrwest260122A",140,"sigma",4.60925448473406,NA,NA
"106","fish","isrwest260122B",114,"abundance",6,NA,NA
"107","fish","isrwest260122B",114,"richness",4,NA,NA
"108","fish","isrwest260122B",114,"sigma",0.95418307142064,NA,NA
"109","fish","isrwest260122C",149,"abundance",3,NA,NA
"110","fish","isrwest260122C",149,"richness",3,NA,NA
"111","fish","isrwest260122C",149,"sigma",0.0521168099182725,NA,NA
"112","fish","isrwest260122D",92,"abundance",6,NA,NA
"113","fish","isrwest260122D",92,"richness",5,NA,NA
"114","fish","isrwest260122D",92,"sigma",0.0234870107351228,NA,NA
"115","fish","isrwest260122E",71,"abundance",6,NA,NA
"116","fish","isrwest260122E",71,"richness",5,NA,NA
"117","fish","isrwest260122E",71,"sigma",0.0234870107351228,NA,NA
"118","fish","isrwest260122F",48.4,"abundance",72,NA,NA
"119","fish","isrwest260122F",48.4,"richness",22,NA,NA
"120","fish","isrwest260122F",48.4,"sigma",2.00884892495261,NA,NA
"121","fish","isrwest260122G",34.4,"abundance",30,NA,NA
"122","fish","isrwest260122G",34.4,"richness",16,NA,NA
"123","fish","isrwest260122G",34.4,"sigma",1.33597569255178,NA,NA
"124","fish","isrwest260122H",16.8,"abundance",48,NA,NA
"125","fish","isrwest260122H",16.8,"richness",20,NA,NA
"126","fish","isrwest260122H",16.8,"sigma",2.57886411432852,NA,NA
"127","fish","isrwest260122I",20.1,"abundance",50,NA,NA
"128","fish","isrwest260122I",20.1,"richness",21,NA,NA
"129","fish","isrwest260122I",20.1,"sigma",2.10872892329312,NA,NA
"130","fish","isrwest260122J",40.9,"abundance",32,NA,NA
"131","fish","isrwest260122J",40.9,"richness",11,NA,NA
"132","fish","isrwest260122J",40.9,"sigma",1.68627870496705,NA,NA
"133","sponges","10q10",10,"abundance",0,NA,NA
"134","sponges","10q10",10,"richness",0,NA,NA
"135","sponges","10q10",10,"sigma",NA,NA,NA
"136","sponges","10q11",10,"abundance",1,NA,NA
"137","sponges","10q11",10,"richness",1,NA,NA
"138","sponges","10q11",10,"sigma",0.0896093888935205,NA,NA
"139","sponges","10q12",10,"abundance",0,NA,NA
"140","sponges","10q12",10,"richness",0,NA,NA
"141","sponges","10q12",10,"sigma",NA,NA,NA
"142","sponges","10q13",10,"abundance",1,NA,NA
"143","sponges","10q13",10,"richness",1,NA,NA
"144","sponges","10q13",10,"sigma",0.0896093888935205,NA,NA
"145","sponges","10q14",10,"abundance",0,NA,NA
"146","sponges","10q14",10,"richness",0,NA,NA
"147","sponges","10q14",10,"sigma",NA,NA,NA
"148","sponges","10q15",10,"abundance",0,NA,NA
"149","sponges","10q15",10,"richness",0,NA,NA
"150","sponges","10q15",10,"sigma",NA,NA,NA
"151","sponges","10q16",10,"abundance",0,NA,NA
"152","sponges","10q16",10,"richness",0,NA,NA
"153","sponges","10q16",10,"sigma",NA,NA,NA
"154","sponges","10q17",10,"abundance",0,NA,NA
"155","sponges","10q17",10,"richness",0,NA,NA
"156","sponges","10q17",10,"sigma",NA,NA,NA
"157","sponges","10q18",10,"abundance",1,NA,NA
"158","sponges","10q18",10,"richness",1,NA,NA
"159","sponges","10q18",10,"sigma",0.0896093888935205,NA,NA
"160","sponges","10q19",10,"abundance",1,NA,NA
"161","sponges","10q19",10,"richness",1,NA,NA
"162","sponges","10q19",10,"sigma",0.0896093888935205,NA,NA
"163","sponges","10q2",10,"abundance",0,NA,NA
"164","sponges","10q2",10,"richness",0,NA,NA
"165","sponges","10q2",10,"sigma",NA,NA,NA
"166","sponges","10q20",10,"abundance",1,NA,NA
"167","sponges","10q20",10,"richness",1,NA,NA
"168","sponges","10q20",10,"sigma",0.0896093888935205,NA,NA
"169","sponges","10q21",10,"abundance",0,NA,NA
"170","sponges","10q21",10,"richness",0,NA,NA
"171","sponges","10q21",10,"sigma",NA,NA,NA
"172","sponges","10q22",10,"abundance",0,NA,NA
"173","sponges","10q22",10,"richness",0,NA,NA
"174","sponges","10q22",10,"sigma",NA,NA,NA
"175","sponges","10q23",10,"abundance",1,NA,NA
"176","sponges","10q23",10,"richness",1,NA,NA
"177","sponges","10q23",10,"sigma",0.0896093888935205,NA,NA
"178","sponges","10q24",10,"abundance",2,NA,NA
"179","sponges","10q24",10,"richness",2,NA,NA
"180","sponges","10q24",10,"sigma",0.107545684837639,NA,NA
"181","sponges","10q25",10,"abundance",0,NA,NA
"182","sponges","10q25",10,"richness",0,NA,NA
"183","sponges","10q25",10,"sigma",NA,NA,NA
"184","sponges","10q26",10,"abundance",0,NA,NA
"185","sponges","10q26",10,"richness",0,NA,NA
"186","sponges","10q26",10,"sigma",NA,NA,NA
"187","sponges","10q27",10,"abundance",0,NA,NA
"188","sponges","10q27",10,"richness",0,NA,NA
"189","sponges","10q27",10,"sigma",NA,NA,NA
"190","sponges","10q28",10,"abundance",0,NA,NA
"191","sponges","10q28",10,"richness",0,NA,NA
"192","sponges","10q28",10,"sigma",NA,NA,NA
"193","sponges","10q29",10,"abundance",0,NA,NA
"194","sponges","10q29",10,"richness",0,NA,NA
"195","sponges","10q29",10,"sigma",NA,NA,NA
"196","sponges","10q3",10,"abundance",2,NA,NA
"197","sponges","10q3",10,"richness",1,NA,NA
"198","sponges","10q3",10,"sigma",0.00941169561488163,NA,NA
"199","sponges","10q30",10,"abundance",0,NA,NA
"200","sponges","10q30",10,"richness",0,NA,NA
"201","sponges","10q30",10,"sigma",NA,NA,NA
"202","sponges","10q31",10,"abundance",0,NA,NA
"203","sponges","10q31",10,"richness",0,NA,NA
"204","sponges","10q31",10,"sigma",NA,NA,NA
"205","sponges","10q32",10,"abundance",0,NA,NA
"206","sponges","10q32",10,"richness",0,NA,NA
"207","sponges","10q32",10,"sigma",NA,NA,NA
"208","sponges","10q33",10,"abundance",0,NA,NA
"209","sponges","10q33",10,"richness",0,NA,NA
"210","sponges","10q33",10,"sigma",NA,NA,NA
"211","sponges","10q34",10,"abundance",0,NA,NA
"212","sponges","10q34",10,"richness",0,NA,NA
"213","sponges","10q34",10,"sigma",NA,NA,NA
"214","sponges","10q35",10,"abundance",0,NA,NA
"215","sponges","10q35",10,"richness",0,NA,NA
"216","sponges","10q35",10,"sigma",NA,NA,NA
"217","sponges","10q36",10,"abundance",1,NA,NA
"218","sponges","10q36",10,"richness",1,NA,NA
"219","sponges","10q36",10,"sigma",0.0896093888935205,NA,NA
"220","sponges","10q37",10,"abundance",0,NA,NA
"221","sponges","10q37",10,"richness",0,NA,NA
"222","sponges","10q37",10,"sigma",NA,NA,NA
"223","sponges","10q38",10,"abundance",1,NA,NA
"224","sponges","10q38",10,"richness",1,NA,NA
"225","sponges","10q38",10,"sigma",0.0896093888935205,NA,NA
"226","sponges","10q39",10,"abundance",2,NA,NA
"227","sponges","10q39",10,"richness",2,NA,NA
"228","sponges","10q39",10,"sigma",0.107545684837639,NA,NA
"229","sponges","10q4",10,"abundance",0,NA,NA
"230","sponges","10q4",10,"richness",0,NA,NA
"231","sponges","10q4",10,"sigma",NA,NA,NA
"232","sponges","10q40",10,"abundance",0,NA,NA
"233","sponges","10q40",10,"richness",0,NA,NA
"234","sponges","10q40",10,"sigma",NA,NA,NA
"235","sponges","10q41",10,"abundance",1,NA,NA
"236","sponges","10q41",10,"richness",1,NA,NA
"237","sponges","10q41",10,"sigma",0.0896093888935205,NA,NA
"238","sponges","10q42",10,"abundance",0,NA,NA
"239","sponges","10q42",10,"richness",0,NA,NA
"240","sponges","10q42",10,"sigma",NA,NA,NA
"241","sponges","10q5",10,"abundance",1,NA,NA
"242","sponges","10q5",10,"richness",1,NA,NA
"243","sponges","10q5",10,"sigma",0.0896093888935205,NA,NA
"244","sponges","10q6",10,"abundance",0,NA,NA
"245","sponges","10q6",10,"richness",0,NA,NA
"246","sponges","10q6",10,"sigma",NA,NA,NA
"247","sponges","10q7",10,"abundance",0,NA,NA
"248","sponges","10q7",10,"richness",0,NA,NA
"249","sponges","10q7",10,"sigma",NA,NA,NA
"250","sponges","10q8",10,"abundance",0,NA,NA
"251","sponges","10q8",10,"richness",0,NA,NA
"252","sponges","10q8",10,"sigma",NA,NA,NA
"253","sponges","10q9",10,"abundance",1,NA,NA
"254","sponges","10q9",10,"richness",1,NA,NA
"255","sponges","10q9",10,"sigma",0.0896093888935205,NA,NA
"256","sponges","20q1",20,"abundance",2,NA,NA
"257","sponges","20q1",20,"richness",2,NA,NA
"258","sponges","20q1",20,"sigma",0.107545684837639,NA,NA
"259","sponges","20q10",20,"abundance",0,NA,NA
"260","sponges","20q10",20,"richness",0,NA,NA
"261","sponges","20q10",20,"sigma",NA,NA,NA
"262","sponges","20q11",20,"abundance",0,NA,NA
"263","sponges","20q11",20,"richness",0,NA,NA
"264","sponges","20q11",20,"sigma",NA,NA,NA
"265","sponges","20q12",20,"abundance",0,NA,NA
"266","sponges","20q12",20,"richness",0,NA,NA
"267","sponges","20q12",20,"sigma",NA,NA,NA
"268","sponges","20q13",20,"abundance",1,NA,NA
"269","sponges","20q13",20,"richness",1,NA,NA
"270","sponges","20q13",20,"sigma",0.0896093888935205,NA,NA
"271","sponges","20q14",20,"abundance",0,NA,NA
"272","sponges","20q14",20,"richness",0,NA,NA
"273","sponges","20q14",20,"sigma",NA,NA,NA
"274","sponges","20q15",20,"abundance",2,NA,NA
"275","sponges","20q15",20,"richness",2,NA,NA
"276","sponges","20q15",20,"sigma",0.107545684837639,NA,NA
"277","sponges","20q16",20,"abundance",0,NA,NA
"278","sponges","20q16",20,"richness",0,NA,NA
"279","sponges","20q16",20,"sigma",NA,NA,NA
