Name,Site,Depth,Habitat,Orientation,Coral,Sponge,Other,Algae,Substrate
7366.50m.qua17.jpg,Oil Jetty,50,Mesophotic,VER,12,3,6,60,19
737.50m.qua18.jpg,Oil Jetty,50,Mesophotic,MID,13,0,5,58,24
7394.50m.qua20.jpg,Oil Jetty,50,Mesophotic,MID,12,0,3,20,65
7406.50m.qua21.jpg,Oil Jetty,50,Mesophotic,MID,31,1,0,44,24
74.50m.qua25.jpg,Oil Jetty,50,Mesophotic,MID,18,0,2,52,28
7458.50m.qua26.jpg,Oil Jetty,50,Mesophotic,MID,5,0,1,34,60
7466.50m.qua27.jpg,Oil Jetty,50,Mesophotic,VER,20,0,2,50,28
7498.50m.qua29.jpg,Oil Jetty,50,Mesophotic,VER,27,0,0,45,28
7510.50m.qua30.jpg,Oil Jetty,50,Mesophotic,MID,29,0,0,13,58
7532.50m.qua32.jpg,Oil Jetty,50,Mesophotic,MID,12,0,1,70,17
7553.qua60.1 - Copy.jpg,Oil Jetty,60,Mesophotic,MID,7,1,7,62,23
7567qua60.2.jpg,Oil Jetty,60,Mesophotic,VAR,0,4,1,95,0
7593 qua60.4.jpg,Oil Jetty,60,Mesophotic,MID,10,5,7,52,26
7616qua60.5.jpg,Oil Jetty,60,Mesophotic,VAR,1,3,1,76,19
7625qua60.6.jpg,Oil Jetty,60,Mesophotic,VAR,1,6,7,77,9
IMG_2145.5m.qua.4.jpg,Oil Jetty,5,Shallow,HOR,11,1,1,3,84
IMG_2153.5m.qua.5.jpg,Oil Jetty,5,Shallow,VER,8,2,11,62,17
IMG_2166.5m.qua.7.jpg,Oil Jetty,5,Shallow,HOR,54,0,5,1,40
IMG_2173.5m.qua.8.jpg,Oil Jetty,5,Shallow,HOR,30,0,1,5,64
IMG_2180.5m.qua.9.jpg,Oil Jetty,5,Shallow,HOR,26,1,2,1,70
IMG_2204.5m.qua.11.jpg,Oil Jetty,5,Shallow,HOR,32,0,2,0,66
IMG_2220.5m.qua.12.jpg,Oil Jetty,5,Shallow,HOR,64,0,2,0,34
IMG_2226.5m.qua.13.jpg,Oil Jetty,5,Shallow,VER,56,1,2,6,35
IMG_2236.5m.qua.14.jpg,Oil Jetty,5,Shallow,HOR,40,1,0,1,58
IMG_2248.5m.qua.15.jpg,Oil Jetty,5,Shallow,HOR,44,2,0,6,48
IMG_2256.5m.qua.16.jpg,Oil Jetty,5,Shallow,HOR,60,0,2,0,38
IMG_2263.5m.qua.17.jpg,Oil Jetty,5,Shallow,HOR,36,0,0,1,63
IMG_2271.5m.qua.18.jpg,Oil Jetty,5,Shallow,HOR,24,0,0,0,76
IMG_2277.5m.qua.19.jpg,Oil Jetty,5,Shallow,HOR,32,0,0,0,68
IMG_2282.5m.qua.20.jpg,Oil Jetty,5,Shallow,MID,34,0,0,0,66
IMG_2294.5m.qua.21.jpg,Oil Jetty,5,Shallow,HOR,12,0,5,2,81
IMG_2301.5m.qua.22.jpg,Oil Jetty,5,Shallow,VER,15,0,4,8,73
IMG_2314.5m.qua.24.jpg,Oil Jetty,5,Shallow,VER,42,0,2,9,47
IMG_2329.5m.qua.25.jpg,Oil Jetty,5,Shallow,VER,60,0,4,7,29
IMG_2338.5m.qua.26.jpg,Oil Jetty,5,Shallow,HOR,32,0,0,0,68
IMG_2347.5m.qua.27.jpg,Oil Jetty,5,Shallow,HOR,23,0,1,0,76
IMG_2355.5m.qua.28.jpg,Oil Jetty,5,Shallow,HOR,42,0,1,4,53
IMG_2360.5m.qua.29.jpg,Oil Jetty,5,Shallow,MID,8,0,1,0,91
IMG_2377.5m.qua.31.jpg,Oil Jetty,5,Shallow,HOR,76,1,6,11,6
IMG_2387.5m.qua.32.jpg,Oil Jetty,5,Shallow,VER,58,0,3,13,26
IMG_2402.5m.qua.34.jpg,Oil Jetty,5,Shallow,VER,67,0,1,1,31
IMG_2420.5m.qua.36.jpg,Oil Jetty,5,Shallow,HOR,14,0,0,9,77
IMG_2426.5m.qua.37.jpg,Oil Jetty,5,Shallow,HOR,13,0,0,2,85
IMG_2432.5m.qua.38.jpg,Oil Jetty,5,Shallow,HOR,9,0,0,11,80
IMG_2446.5m.qua.40.jpg,Oil Jetty,5,Shallow,VER,25,0,0,4,71
IMG_2454.5m.qua.41.jpg,Oil Jetty,5,Shallow,HOR,33,0,2,6,59
IMG_6554.20m.qua1.jpg,Oil Jetty,20,Shallow,HOR,27,0,2,7,64
IMG_6561.20m.qua2.jpg,Oil Jetty,20,Shallow,HOR,36,0,4,5,55
IMG_6565.20m.qua3.jpg,Oil Jetty,20,Shallow,HOR,25,1,0,7,67
IMG_6572.20m.qua4.jpg,Oil Jetty,20,Shallow,HOR,48,1,0,2,49
IMG_6579.20m.qua6.jpg,Oil Jetty,20,Shallow,HOR,30,0,0,2,68
IMG_6586.20m.qua7.jpg,Oil Jetty,20,Shallow,HOR,32,0,2,7,59
IMG_6593.20m.qua8.jpg,Oil Jetty,20,Shallow,HOR,32,0,0,15,53
IMG_6597.20m.qua9.jpg,Oil Jetty,20,Shallow,HOR,27,4,1,2,66
IMG_6605.20m.qua10.jpg,Oil Jetty,20,Shallow,HOR,26,1,1,4,68
IMG_6610.20m.qua11.jpg,Oil Jetty,20,Shallow,VER,28,22,8,7,35
IMG_6620.20m.qua12.jpg,Oil Jetty,20,Shallow,HOR,36,0,0,8,56
IMG_6624.20m.qua13.jpg,Oil Jetty,20,Shallow,VER,27,2,1,23,47
IMG_6630.20m.qua14.jpg,Oil Jetty,20,Shallow,HOR,62,0,0,1,37
IMG_6635.20m.qua15.jpg,Oil Jetty,20,Shallow,HOR,40,0,0,1,59
IMG_6643.20m.qua16.jpg,Oil Jetty,20,Shallow,HOR,59,0,0,2,39
IMG_6648.20m.qua17.jpg,Oil Jetty,20,Shallow,HOR,23,0,1,8,68
IMG_6667.20m.qua18.jpg,Oil Jetty,20,Shallow,HOR,25,0,5,19,51
IMG_6673.20m.qua19.jpg,Oil Jetty,20,Shallow,HOR,26,6,0,0,68
IMG_6681.20m.qua20.jpg,Oil Jetty,20,Shallow,HOR,67,0,0,1,32
IMG_6685-1.20m.qua21.jpg,Oil Jetty,20,Shallow,HOR,34,13,0,0,53
IMG_6688.20m.qua22.jpg,Oil Jetty,20,Shallow,HOR,36,6,0,0,58
IMG_6692.20m.qua23.jpg,Oil Jetty,20,Shallow,HOR,32,9,0,1,58
IMG_6700.20m.qua24.jpg,Oil Jetty,20,Shallow,HOR,32,5,1,8,54
