sea,OpCode,lat_y,lon_x
red,isrwest141021G,29.5061,34.92705
red,isrwest141021H,29.507717,34.92395
red,isrwest141021I,29.50725,34.922633
med,isrtche081121A,33.077667,35.095217
med,isrtche081121B,33.0835,35.085517
med,isrtche081121C,33.084133,35.076883
med,isrtche081121D,33.08,35.060533
med,isrtche081121E,33.0801,35.057717
med,isrtche081121F,33.082783,35.0544
med,isrtche081121G,33.084667,35.051817
med,isrtche081121H,33.08355,35.07
med,isrtche081121I,33.0821,35.093883
med,israchz091121A,33.044933,35.08615
med,israchz091121B,33.047083,35.0758
med,israchz091121C,33.05325,35.0463
med,israchz091121D,33.058783,35.0482
med,israchz091121E,33.056933,35.041367
med,israchz091121F,33.0556,35.038067
med,israchz091121G,33.059217,35.041
med,israchz091121H,33.04765,35.062633
med,israchz091121I,33.054317,35.07035
med,israchz091121J,33.034633,35.079383
red,isrwest260122A,29.502833,34.926299
red,isrwest260122B,29.495409,34.919699
red,isrwest260122C,29.492337,34.916886
red,isrwest260122D,29.491262,34.913954
red,isrwest260122E,29.497683,34.9172
red,isrwest260122F,29.495017,34.912483
red,isrwest260122G,29.498272,34.914748
red,isrwest260122H,29.495314,34.908531
red,isrwest260122I,29.494041,34.907006
red,isrwest260122J,29.493163,34.910249
red,isrnort270122A,29.532963,34.952824
red,isrnort270122B,29.53224,34.95823
red,isrnort270122C,29.530563,34.96271
red,isrnort270122D,29.535656,34.954906
red,isrnort270122E,29.536814,34.958298
red,isrnort270122F,29.541029,34.955708
red,isrnort270122G,29.53498,34.96197
red,isrnort270122H,29.542603,34.95998
red,isrnort270122I,29.54403,34.96076
red,isrnort270122J,29.546385,34.957428
med,isrrosh280222A,33.055767,35.093
med,isrrosh280222B,33.054567,35.089017
med,isrrosh280222C,33.055233,35.085817
med,isrrosh280222D,33.065883,35.074333
med,isrrosh280222E,33.06675,35.06855
med,isrrosh280222F,33.064067,35.069433
med,isrrosh280222G,33.063817,35.06615
med,isrrosh280222H,33.062767,35.063967
med,isrrosh280222I,33.070267,35.063567
med,isrrosh280222J,33.066283,35.065083
med,isrrosh280222K,33.071317,35.063283
med,isrnaha010322A,33.0326,35.076733
med,isrnaha010322B,33.03285,35.072417
med,isrnaha010322C,33.040467,35.06975
med,isrnaha010322D,33.045733,35.03435
med,isrnaha010322E,33.049267,35.030033
med,isrnaha010322F,33.052267,35.03005
med,isrnaha010322G,33.05395,35.030217
med,isrnaha010322H,33.0498,35.027967
med,isrnaha010322I,33.056033,35.0298
med,isrnaha010322J,33.0469,35.024317
med,isrnahl250422A,33.0679,35.096433
med,isrnahl250422B,33.067883,35.0918
med,isrnahl250422C,33.071617,35.082017
med,isrnahl250422D,33.0739,35.073067
med,isrnahl250422E,33.073817,35.065467
med,isrnahl250422F,33.0707,35.06535
med,isrnahl250422G,33.075033,35.064217
med,isrnahl250422H,33.072183,35.063317
med,isrnahl250422I,33.07495,35.062717
med,isrnahl250422J,33.0724,35.064717
med,isrnahl250422K,33.0699,35.062733
med,israchz260422A,33.041717,35.0849
med,israchz260422B,33.04605,35.081867
med,israchz260422C,33.0431,35.0591
med,israchz260422D,33.051683,35.0546
med,israchz260422E,33.056967,35.044333
med,israchz260422F,33.058283,35.0582
med,israchz260422G,33.05995,35.064967
med,israchz260422H,33.059833,35.059
med,israchz260422I,33.061433,35.04875
med,israchz260422J,33.061067,35.052783
med,isrrosh270722A,33.08575,35.096567
med,isrrosh270722B,33.07955,35.090817
med,isrrosh270722C,33.080317,35.078233
med,isrrosh270722D,33.081117,35.0596
med,isrrosh270722E,33.0863,35.054683
med,isrrosh270722F,33.086917,35.050683
med,isrrosh270722G,33.083833,35.055183
med,isrrosh270722H,33.08925,35.049317
med,isrrosh270722I,33.082,35.054683
med,isrrosh270722J,33.07965,35.056417
med,isrnaha280722A,33.020717,35.079783
med,isrnaha280722B,33.027,35.069233
med,isrnaha280722C,33.038167,35.061633
med,isrnaha280722D,33.048033,35.04835
med,isrnaha280722E,33.052817,35.036367
med,isrnaha280722F,33.05575,35.032517
med,isrnaha280722G,33.052467,35.03155
med,isrnaha280722H,33.0557,35.035617
med,isrnaha280722I,33.055183,35.029233
med,isrnaha280722J,33.054467,35.03255
