"","fish","sponges","stony.corals","soft.corals"
"mixgaussian_negbin",714.322542734334,967.740153330635,175.88639356692,329.690398275323
"mixgaussian_zinbl.mu",718.322563040079,969.773710398801,177.500128080534,331.690670126628
"mixgaussian_zinbl",718.322766716879,970.559896856246,177.886393743774,331.695173248375
"sech_negbin",718.355086671184,970.559899338147,179.50012813829,332.959425354154
"hofV_negbin",718.35508711236,970.910946936182,179.739744977694,333.460030777003
"sech_zinb",720.35508661623,970.91097652571,179.74339971727,333.477482659367
