"","fish","sponges","stony.corals","soft.corals"
"mixgaussian_zinbl",998.334301896964,1176.21373125904,282.030190744691,778.931914076032
"sech_negbin",1001.86921751861,1184.11290774773,284.030207967725,780.931914172973
"modskurt_negbin",1003.86921757946,1184.11290986295,285.834665364338,781.696380729853
"sech_zinb",1003.86921759514,1185.50494757315,286.030190735072,782.01828533392
"hofV_negbin",1005.61651141747,1185.50497804826,286.030190762538,782.931914076024
"sech_zinbl.mu",1005.86921773844,1186.11290828042,286.030226221961,782.931914076073
